,count,mean,std,min,25%,50%,75%,max,missing_pct,skew,kurtosis
OriginLatitude,305838.0,36.61120681864255,4.867588878107332,-43.6496,32.8154,37.0835,40.8572,53.5749,0.0,-0.22827629418577725,-0.6742161561437063
OriginLongitude,305838.0,-89.17949916262859,12.487666698394442,-157.8646,-97.0485,-86.8064,-80.1014,172.6416,0.0,-0.6151188927984437,0.7039597604721877
DestinationLatitude,305838.0,37.03333140224563,4.597781339944389,19.8023,33.2112,37.6026,40.814925,61.2171,0.0,-0.1899706818107985,-0.7350461423313823
DestinationLongitude,305838.0,-90.0043954629575,13.270067084919935,-157.9044,-97.0468,-87.7841,-80.0156,31.3241,0.0,-0.671605658540847,-0.24731446070331398
TotalCostLog,305838.0,6.326822192485982,1.1490901468340244,0.009950330853168,5.351858133476067,6.2166061010848646,7.313886831633462,9.980494888896912,0.0,0.16200123798628865,-1.0746487175207837
NetHeight,299679.0,69.48131130451053,14.641081641092883,0.0,63.45555555555556,67.44999999999999,74.2,1021.0,2.0138112333980733,0.45650734877019783,66.15705681259828
NetLength,299679.0,197.5601788799646,33.96586142045162,0.0,184.5,193.1,211.8,2776.0,2.0138112333980733,0.6686496729251139,228.08258959335822
NetWidth,15347.0,80.72633712836976,7.797993169573281,62.8,73.8,80.83333333333333,85.5,110.90000000000002,94.98198392613084,0.6934309882609068,0.5461374433022361
NetWheelBase,293876.0,102.0328464215582,46.03306635492231,0.0,106.3,113.0,121.6,2706.5,3.9112209731949594,-0.7991036166517778,35.757480692572116
IsEV,305838.0,0.00047410720708348863,0.021768876381210785,0.0,0.0,0.0,0.0,1.0,0.0,45.89388544187135,2104.262481586163
IsHybrid,305838.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FuelTypeKnown,305838.0,0.008416220351951033,0.09135324227405478,0.0,0.0,0.0,0.0,1.0,0.0,10.762332722950317,113.82855001097458
TypePassengerCar,305838.0,0.0022332084306070535,0.0576221614996174,0.0,0.0,0.0,0.0,9.0,0.0,58.31466755892135,6809.877083063365
TypeSUVMinivan,305838.0,0.016724540442979618,0.21956069999434616,0.0,0.0,0.0,0.0,12.0,0.0,26.727890692629654,932.5949714640193
TypeTruckVanSmall,305838.0,0.0020958808257966637,0.05495538344043924,0.0,0.0,0.0,0.0,6.0,0.0,40.76452318190987,2632.4882017393747
TypeTruckVanMedium,305838.0,8.174262191094632e-05,0.0100674972417499,0.0,0.0,0.0,0.0,3.0,0.0,156.99179558091123,32776.482139588785
TypeTruckVanLarge,305838.0,5.55849828994435e-05,0.007881719741337332,0.0,0.0,0.0,0.0,2.0,0.0,153.57405750401344,26258.8062498366
TypeMissing,305838.0,3.6754850607184197,3.1990804324352604,0.0,1.0,2.0,6.0,34.0,0.0,1.1695455948449776,1.449009864760416
TotalWeight,294535.0,16095.127682618364,13352.234369053876,1808.0,4510.0,11318.0,28196.0,147158.0,3.695747421837705,1.005135195509994,0.8314553854774633
WeightKnown,305838.0,0.963042525781623,0.18865772099823214,0.0,1.0,1.0,1.0,1.0,0.0,-4.908842865016616,22.096882773952498
WeighedVehicleCount,305838.0,3.567800600317815,3.178917883429591,0.0,1.0,2.0,6.0,34.0,0.0,1.1588408962643042,1.3868431922748505
VehicleWeightSum,297447.0,16014.977380844319,13350.234942158066,0.0,4476.0,11221.0,28042.0,147158.0,2.743609361819002,1.0044675247632702,0.8349761290182229
VehicleWeightKnown,305838.0,0.97256390638181,0.16335067074286277,0.0,1.0,1.0,1.0,1.0,0.0,-5.785920492912144,31.477081791793616
VehicleWeightKnownCount,305838.0,3.6015243364133953,3.183888938580771,0.0,1.0,2.0,6.0,34.0,0.0,1.1586538720669957,1.372176429430453
VehicleYearMean,299692.0,2021.5572580405415,29.50189114320047,0.0,2019.7142857142856,2023.0,2025.0,2027.0,2.009560617058704,-66.87108557491571,4568.146766852448
InoperableAny,4130.0,0.8796610169491526,0.32539691113418234,0.0,1.0,1.0,1.0,1.0,98.64961188603117,-2.334656219792297,3.4522912419843683
VehicleCount,305838.0,3.6966760180226133,3.1937335651679626,1.0,1.0,2.0,6.0,34.0,0.0,1.1774883721000584,1.4642795227963226
VehicleSpecsKnown,305838.0,0.9798618876660192,0.14047289163924828,0.0,1.0,1.0,1.0,1.0,0.0,-6.8321370778413355,44.678389220665814
lead_time_days,303896.0,1.3814429936557244,4.52726339204521,-365.0,0.0,0.0,2.0,514.0,0.6349766870042309,14.368076815232579,1558.5914799481423
delivery_date_days,304806.0,0.6561550625643852,4.690043275043059,-364.0,-1.0,0.0,1.0,731.0,0.33743354324838637,29.43862426472976,3348.306878615218
TotalStops,305838.0,0.12233600795192226,0.534148594298201,0.0,0.0,0.0,0.0,9.0,0.0,4.921840399141143,28.755708918971663
TotalCost_min_2w_lane_zip3,251509.0,772.129465427197,1025.9737092035534,0.01,132.0,250.0,1087.5,10000.0,17.763979623199212,2.081648014115634,4.89423438209947
TotalCost_max_2w_lane_zip3,251509.0,1221.609391998752,1265.1669551121017,40.0,325.0,723.5,1700.0,11497.75,17.763979623199212,1.875583897124711,4.0943329583519805
TotalCost_mean_2w_lane_zip3,251509.0,985.4009967149433,1135.8866692459956,40.0,226.47916666666669,436.875,1400.0,10500.0,17.763979623199212,1.8936868107015994,3.911194499691044
TotalCost_count_2w_lane_zip3,251509.0,6.991761726220533,6.644248252363682,1.0,2.0,5.0,9.0,82.0,17.763979623199212,2.2288548739680887,6.753980781068302
TotalCost_std_2w_lane_zip3,215921.0,210.93466224241743,253.29704427193533,0.0,47.87135538781677,133.26039671760566,266.6729042662984,5427.044545606752,29.40020533746624,3.145122660370202,18.67709936449839
TotalCost_min_3m_lane_state,302606.0,292.16929955104564,452.7552344858944,1.0,75.0,125.0,315.0,14000.0,1.0567686160647138,4.9441433469402725,42.236920413582396
TotalCost_max_3m_lane_state,302606.0,2413.164406081783,1434.132673852737,40.0,1350.0,2115.9,3000.0,14000.0,1.0567686160647138,1.1259473366349346,1.823529279348278
TotalCost_mean_3m_lane_state,302606.0,1017.0264785713993,987.9769827750188,40.0,378.3438204132412,583.7527960369038,1325.9679697900665,14000.0,1.0567686160647138,1.886228980333262,3.868405737056707
TotalCost_count_3m_lane_state,302606.0,186.3203175085755,196.8855682188648,1.0,53.0,111.0,222.0,694.0,1.0567686160647138,1.3433911144099613,0.41675952785850034
TotalCost_std_3m_lane_state,300012.0,439.81822310157736,293.0458434459962,0.0,248.410567696705,406.2139435368524,545.9782773363022,9598.974554607385,1.904930061012693,2.62779022932858,20.883331813937506
TotalCost_min_6m_lane_state,303533.0,253.69140656368364,389.31766354355676,1.0,69.0,100.0,300.0,12500.0,0.753666974018925,5.5585911631214815,56.684237298518795
TotalCost_max_6m_lane_state,303533.0,2593.4744511333183,1471.4672179120787,50.0,1500.0,2250.0,3500.0,14000.0,0.753666974018925,1.0791548895110434,1.86622015416381
TotalCost_mean_6m_lane_state,303533.0,1001.6790800647939,954.1179846940546,45.0,372.05166355140193,571.720442399585,1329.6347736625514,12500.0,0.753666974018925,1.7801776585066462,3.2056110225831516
TotalCost_count_6m_lane_state,303533.0,338.07320785548853,377.93720416342927,1.0,82.0,196.0,387.0,1325.0,0.753666974018925,1.4630441835795787,0.8126391547690379
TotalCost_std_6m_lane_state,301661.0,448.1990793179992,293.82539394325937,0.0,257.2147732877093,413.88360803215096,540.1283581925015,5798.27560572969,1.365755726888091,2.3699568590567943,12.807941112829099
CreationDate_is_weekend,305838.0,0.1007624951771853,0.3010144697682604,0.0,0.0,0.0,0.0,1.0,0.0,2.6526307251932453,5.036482699820569
CreationDate_is_eoq,305838.0,0.049997057265611204,0.2179392273851133,0.0,0.0,0.0,0.0,1.0,0.0,4.129645598055411,15.05407121023577
CreationDate_is_holiday,305838.0,0.02198549558916812,0.1466362979576601,0.0,0.0,0.0,0.0,1.0,0.0,6.519772212225508,40.50769459567823
CreationDate_day_of_year_sin,305838.0,0.16214057365055615,0.7014299082734262,-0.9999994220246924,-0.4990686026885319,0.321057654185271,0.8402480696078469,0.9999855506507186,0.0,-0.34412013719887835,-1.3809380538729272
CreationDate_day_of_year_cos,305838.0,-0.08659727582867845,0.6886295006831563,-0.9999791929590824,-0.7899045386224707,-0.1190587300340498,0.5672476988027229,1.0,0.0,0.13297539813802114,-1.4424101046650841
CreationDate_day_of_week_sin,305838.0,0.22643436029809894,0.6183520121835292,-0.9749279121818236,-0.433883739117558,0.4338837391175582,0.7818314824680298,0.9749279121818236,0.0,-0.3964871643326554,-1.0836861105989968
CreationDate_day_of_week_cos,305838.0,-0.05911705864724551,0.7502509803551025,-0.9009688679024191,-0.900968867902419,-0.2225209339563143,0.6234898018587336,1.0,0.0,0.16447176180763404,-1.5706542915100967
delta_lat,305838.0,0.4221245836030838,3.5630424240318734,-19.8161,-0.9279749999999982,0.0289000000000001,1.2727999999999966,79.811,0.0,0.8111370356383923,4.737295229121978
delta_lon,305838.0,-0.8248963003289319,7.134743477287436,-268.4397,-1.517399999999995,-0.0819999999999936,1.2914000000000065,105.6428,0.0,-1.2979122898498554,18.44290887715542
